"Question","Option A","Option B","Option C","Option D","Answer Key"
"Which battle marked the beginning of World War II?","Battle of Britain","Invasion of Poland","Battle of Stalingrad","Battle of Midway","B"
"Which battle is considered the largest naval battle in history?","Battle of Midway","Battle of the Atlantic","Battle of Leyte Gulf","Battle of Coral Sea","C"
"Which battle was a major German offensive on the Western Front?","Battle of the Bulge","Battle of Kursk","Battle of Stalingrad","Battle of Berlin","A"
"Which battle marked the turning point of World War II in the Pacific?","Battle of Iwo Jima","Battle of Midway","Battle of Guadalcanal","Battle of Leyte Gulf","B"
"Which was the last major offensive by the Axis powers in North Africa?","Battle of El Alamein","Battle of Kasserine Pass","Battle of Tobruk","Battle of Gazala","A"
"Which battle was the first major offensive by Allied forces against the Empire of Japan?","Battle of Guadalcanal","Battle of Midway","Battle of Iwo Jima","Battle of Okinawa","A"
"Which battle was the largest tank battle in history?","Battle of Kursk","Battle of the Bulge","Battle of Stalingrad","Battle of Berlin","A"
"Which battle marked the end of World War II in Europe?","Battle of Berlin","Battle of Stalingrad","Battle of the Bulge","Battle of Kursk","A"
"Which battle was a significant defeat for Japan in the Pacific?","Battle of Midway","Battle of Iwo Jima","Battle of Guadalcanal","Battle of Leyte Gulf","A"
"Which battle was a major turning point on the Eastern Front?","Battle of Stalingrad","Battle of Kursk","Battle of Moscow","Battle of Berlin","A"
"Which battle was the longest of World War II?","Battle of Stalingrad","Battle of the Atlantic","Battle of Kursk","Battle of Berlin","B"
"Which battle was the first major defeat of the German Army?","Battle of Moscow","Battle of Stalingrad","Battle of Kursk","Battle of Berlin","A"
"Which battle was the largest amphibious invasion in history?","Battle of Iwo Jima","Battle of Okinawa","Battle of Guadalcanal","D-Day Invasion","D"
"Which battle was a major Allied victory in the Pacific?","Battle of Midway","Battle of Iwo Jima","Battle of Guadalcanal","Battle of Leyte Gulf","C"
"Which battle marked the beginning of the end for Germany in World War II?","Battle of Stalingrad","Battle of Kursk","Battle of the Bulge","Battle of Berlin","A"
"Which battle was a major defeat for the Allies in the Pacific?","Battle of Midway","Battle of Guadalcanal","Battle of Singapore","Battle of Iwo Jima","C"
"Which battle was the first major counterattack by Allied forces against the Japanese in the Pacific?","Battle of Midway","Battle of Guadalcanal","Battle of Iwo Jima","Battle of Leyte Gulf","B"
"Which battle was the largest airborne operation in history?","Operation Market Garden","Battle of the Bulge","Battle of Stalingrad","Battle of Berlin","A"
"Which battle was a major defeat for the Allies in Europe?","Battle of the Bulge","Battle of Kursk","Battle of Stalingrad","Battle of Dunkirk","D"
"Which battle marked the end of World War II in the Pacific?","Battle of Iwo Jima","Battle of Okinawa","Battle of Midway","Battle of Leyte Gulf","B"
