"Question","Option A","Option B","Option C","Option D","Answer Key"
"What is the powerhouse of the cell?","Nucleus","Mitochondria","Ribosome","Endoplasmic Reticulum","B"
"What is the basic unit of life?","Cell","Atom","Molecule","Organism","A"
"What is the process by which plants make food?","Respiration","Photosynthesis","Digestion","Fermentation","B"
"What is the largest organ in the human body?","Heart","Liver","Skin","Brain","C"
"What is the genetic material of a cell?","Protein","DNA","Lipid","Carbohydrate","B"
"What is the process of cell division called?","Mitosis","Meiosis","Fission","Fusion","A"
"What is the study of heredity and variation?","Ecology","Genetics","Physiology","Anatomy","B"
"What is the universal blood type?","A","B","AB","O","D"
"What is the main gas that plants need for photosynthesis?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen","C"
"What is the process of breaking down food to produce energy?","Digestion","Respiration","Photosynthesis","Fermentation","B"
"What is the smallest bone in the human body?","Stapes","Femur","Humerus","Tibia","A"
"What is the largest bone in the human body?","Femur","Humerus","Tibia","Pelvis","A"
"What is the main function of the respiratory system?","Digestion","Circulation","Excretion","Breathing","D"
"What is the main function of the circulatory system?","Digestion","Circulation","Excretion","Breathing","B"
"What is the main function of the digestive system?","Digestion","Circulation","Excretion","Breathing","A"
"What is the main function of the excretory system?","Digestion","Circulation","Excretion","Breathing","C"
"What is the main function of the nervous system?","Control and coordination","Digestion","Circulation","Excretion","A"
"What is the main function of the endocrine system?","Control and coordination","Digestion","Circulation","Excretion","A"
"What is the main function of the skeletal system?","Support and protection","Digestion","Circulation","Excretion","A"
"What is the main function of the muscular system?","Movement","Digestion","Circulation","Excretion","A"
